id,MSE_insample,MSE_outsample,RMSSE_value
HOBBIES_1_097_CA_1,0.808377535,0.680832527,0.6406118
HOBBIES_1_098_CA_1,0.794392036,0.704562522,0.72546468
HOBBIES_1_099_CA_1,1.512344035,1.22248411,0.853400214
HOBBIES_1_100_CA_1,0.989423473,0.939746566,0.757708233
HOBBIES_1_102_CA_1,0.405144499,0.362550051,0.725871075
HOBBIES_1_103_CA_1,6.242926328,5.300833225,0.739083609
HOBBIES_1_104_CA_1,0.369304651,0.539288674,1.218564623
HOBBIES_1_105_CA_1,1.263566141,1.247291659,0.827148976
HOBBIES_1_106_CA_1,0.890733551,1.012407362,1.131980949
HOBBIES_1_107_CA_1,0.448853765,0.486985073,1.236985682
HOBBIES_1_108_CA_1,1.45975245,1.450902379,0.848635321
HOBBIES_1_109_CA_1,0.761134625,0.728788734,0.765417111
HOBBIES_1_110_CA_1,0.767035483,0.762653053,1.102209611
HOBBIES_1_111_CA_1,1.625135874,1.508376732,1.024614703
HOBBIES_1_112_CA_1,0.489486295,0.521500423,1.044109832
HOBBIES_1_113_CA_1,0.968491691,0.943884304,1.756546955
HOBBIES_1_114_CA_1,0.908987993,0.873722948,1.217666406
HOBBIES_1_115_CA_1,2.906492127,2.699745798,1.387968077
HOBBIES_1_116_CA_1,0.851047398,0.940779572,1.215832583
HOBBIES_1_117_CA_1,0.508129304,0.435148232,0.657185011
HOBBIES_1_118_CA_1,0.471056407,0.669846287,1.171454021
HOBBIES_1_119_CA_1,1.931604699,2.362856554,1.535714118
HOBBIES_1_120_CA_1,0.797069996,0.676662305,0.869119274
HOBBIES_1_121_CA_1,2.518614587,2.224159258,1.204678556
HOBBIES_1_122_CA_1,2.334835034,4.38902018,2.706090883
HOBBIES_1_123_CA_1,1.175609173,1.315645375,1.160837983
HOBBIES_1_124_CA_1,1.624533858,1.707183858,1.094934162
HOBBIES_1_125_CA_1,0.89380568,1.005783569,1.610279694
HOBBIES_1_126_CA_1,0.892023394,1.55613067,1.822851302
HOBBIES_1_127_CA_1,2.041476985,2.108124156,1.141385849
HOBBIES_1_128_CA_1,0.60592828,0.569232008,0.775144925
HOBBIES_1_129_CA_1,1.007130524,1.098433869,0.965996877
HOBBIES_1_130_CA_1,1.788529941,1.751890175,0.858520861
HOBBIES_1_131_CA_1,3.53803812,3.177596675,1.152209045
HOBBIES_1_132_CA_1,1.394632863,1.621038235,1.053695127
HOBBIES_1_133_CA_1,0.66614445,0.567263075,0.711371653
HOBBIES_1_134_CA_1,4.191716968,4.697893708,0.998288048
HOBBIES_1_135_CA_1,0.453493919,0.546070609,1.180692294
HOBBIES_1_136_CA_1,0.364679138,0.355656315,0.968621523
HOBBIES_1_137_CA_1,0.996556192,1.005358496,0.906955344
HOBBIES_1_138_CA_1,0.447174424,0.341928095,0.701190832
HOBBIES_1_139_CA_1,1.49641939,1.1885032,0.992793494
HOBBIES_1_140_CA_1,2.25627633,2.1311141,1.181165271
HOBBIES_1_141_CA_1,1.485897193,1.415192157,0.95652546
HOBBIES_1_142_CA_1,2.947438857,2.304905874,1.020650721
HOBBIES_1_143_CA_1,0.87333381,0.749041711,0.701829458
HOBBIES_1_144_CA_1,1.185300985,1.177046528,0.863698387
HOBBIES_1_145_CA_1,2.986286826,3.461134145,1.318625697
HOBBIES_1_146_CA_1,1.116838788,1.155887111,0.949167085
HOBBIES_1_147_CA_1,4.15833254,4.366229596,1.068245441
HOBBIES_1_148_CA_1,1.602547831,1.345372909,0.890013409
HOBBIES_1_149_CA_1,1.103177638,0.975867927,0.726854784
HOBBIES_1_150_CA_1,3.278449684,2.769720751,0.675872941
HOBBIES_1_151_CA_1,0.970732987,0.983978511,0.82012721
HOBBIES_1_152_CA_1,0.786613456,0.79456648,0.977823564
