id,MSE_insample,MSE_outsample,RMSSE_value
HOBBIES_1_097_CA_1,0.765306636,0.43645305,0.410669236
HOBBIES_1_098_CA_1,0.692672886,0.711926457,0.73304708
HOBBIES_1_099_CA_1,1.080042725,1.060804003,0.74053344
HOBBIES_1_100_CA_1,0.891275591,0.872365699,0.703379715
HOBBIES_1_102_CA_1,0.348115252,0.315168008,0.631006229
HOBBIES_1_103_CA_1,5.176903647,2.865395496,0.399515841
HOBBIES_1_104_CA_1,0.308686771,0.535481003,1.209960894
HOBBIES_1_105_CA_1,1.054637505,0.657142541,0.435788034
HOBBIES_1_106_CA_1,0.643658753,0.949415685,1.06154944
HOBBIES_1_107_CA_1,0.287254253,0.475363722,1.20746641
HOBBIES_1_108_CA_1,1.232815235,1.175498708,0.687551236
HOBBIES_1_109_CA_1,0.67446976,0.814322305,0.855249535
HOBBIES_1_110_CA_1,0.486086411,0.442767264,0.639900846
HOBBIES_1_111_CA_1,1.0758709,0.722984254,0.491110928
HOBBIES_1_112_CA_1,0.358190423,0.424740425,0.850384073
HOBBIES_1_113_CA_1,0.385213894,0.467130842,0.86931974
HOBBIES_1_114_CA_1,0.521967871,0.298424944,0.41590075
HOBBIES_1_115_CA_1,1.408568496,0.954258148,0.49059428
HOBBIES_1_116_CA_1,0.588353759,1.00905858,1.304074128
HOBBIES_1_117_CA_1,0.459706365,0.32589433,0.492183704
HOBBIES_1_118_CA_1,0.398583485,0.67436952,1.179364432
HOBBIES_1_119_CA_1,1.105887368,2.009848399,1.306280128
HOBBIES_1_120_CA_1,0.568455885,0.673696087,0.865309401
HOBBIES_1_121_CA_1,1.357790795,0.920422545,0.498531433
HOBBIES_1_122_CA_1,1.137072658,4.212095926,2.597006602
HOBBIES_1_123_CA_1,0.783714752,1.25401716,1.106461344
HOBBIES_1_124_CA_1,1.173273059,1.629736989,1.04526217
HOBBIES_1_125_CA_1,0.438451578,0.914431268,1.464022824
HOBBIES_1_126_CA_1,0.60554362,1.541938837,1.806226991
HOBBIES_1_127_CA_1,1.332512029,1.504844243,0.814756531
HOBBIES_1_128_CA_1,0.519531811,0.542919877,0.739314692
HOBBIES_1_129_CA_1,0.812879123,1.070379064,0.94132461
HOBBIES_1_130_CA_1,1.41580502,1.540324359,0.754842177
HOBBIES_1_131_CA_1,1.97066196,1.131853963,0.410414696
HOBBIES_1_132_CA_1,1.166736931,1.768234804,1.149374738
HOBBIES_1_133_CA_1,0.545017082,0.37787998,0.473877321
HOBBIES_1_134_CA_1,3.398862571,4.380013325,0.930739439
HOBBIES_1_135_CA_1,0.327818447,0.509755253,1.102172665
HOBBIES_1_136_CA_1,0.260914135,0.257802694,0.702119511
HOBBIES_1_137_CA_1,0.838106473,1.062926689,0.958888839
HOBBIES_1_138_CA_1,0.357123927,0.18898717,0.387555374
HOBBIES_1_139_CA_1,0.875791503,1.121790032,0.937065921
HOBBIES_1_140_CA_1,1.261623457,1.481707846,0.821233293
HOBBIES_1_141_CA_1,1.111566429,1.388761018,0.938660707
HOBBIES_1_142_CA_1,1.868470105,1.137072251,0.503514536
HOBBIES_1_143_CA_1,0.741198602,0.470599554,0.440937567
HOBBIES_1_144_CA_1,0.968719313,1.041847636,0.764491548
HOBBIES_1_145_CA_1,1.890695119,3.030788434,1.154672238
