id,MSE_insample,MSE_outsample,RMSSE_value
HOBBIES_1_097_CA_1,0.766512815,0.60143955,0.565909026
HOBBIES_1_098_CA_1,0.722581409,0.740639258,0.7626117
HOBBIES_1_099_CA_1,1.264707532,1.062850132,0.741961816
HOBBIES_1_100_CA_1,0.911213715,0.877539842,0.707551575
HOBBIES_1_102_CA_1,0.358759294,0.31430155,0.629271471
HOBBIES_1_103_CA_1,5.0368099,3.223431562,0.449436029
HOBBIES_1_104_CA_1,0.332401633,0.56157245,1.268916545
HOBBIES_1_105_CA_1,1.112131109,0.977626929,0.648319186
HOBBIES_1_106_CA_1,0.70653892,0.95628062,1.06922518
HOBBIES_1_107_CA_1,0.296303797,0.479094595,1.216943163
HOBBIES_1_108_CA_1,1.249377629,1.170198094,0.684450898
HOBBIES_1_109_CA_1,0.688164873,0.771523989,0.810300208
HOBBIES_1_110_CA_1,0.497650426,0.448130508,0.647651972
HOBBIES_1_111_CA_1,1.171232145,0.926805627,0.629563326
HOBBIES_1_112_CA_1,0.371557646,0.421344906,0.843585815
HOBBIES_1_113_CA_1,0.443640766,0.539923222,1.004784683
HOBBIES_1_114_CA_1,0.540340082,0.265647144,0.370219878
HOBBIES_1_115_CA_1,1.817903358,1.442226194,0.741463851
HOBBIES_1_116_CA_1,0.6379667,1.104196839,1.427027686
HOBBIES_1_117_CA_1,0.472740727,0.367140919,0.554476591
HOBBIES_1_118_CA_1,0.396535152,0.674152491,1.178984884
HOBBIES_1_119_CA_1,1.209789974,2.105775536,1.368626976
HOBBIES_1_120_CA_1,0.62210322,0.845589233,1.086092568
HOBBIES_1_121_CA_1,1.814468362,1.451176194,0.786005245
HOBBIES_1_122_CA_1,1.35590221,4.375924794,2.698016802
HOBBIES_1_123_CA_1,0.917050307,1.277032912,1.126768912
HOBBIES_1_124_CA_1,1.301916889,1.657714148,1.063205842
HOBBIES_1_125_CA_1,0.529832539,0.918499081,1.470535475
HOBBIES_1_126_CA_1,0.721963527,1.79366175,2.101095185
HOBBIES_1_127_CA_1,1.374189714,1.565484148,0.84758834
HOBBIES_1_128_CA_1,0.543303169,0.529000205,0.720359745
HOBBIES_1_129_CA_1,0.893831931,1.076159162,0.946407808
HOBBIES_1_130_CA_1,1.502568113,1.520707401,0.745228808
HOBBIES_1_131_CA_1,2.130421655,1.326988437,0.481171223
HOBBIES_1_132_CA_1,1.227985654,1.767278978,1.148753439
HOBBIES_1_133_CA_1,0.602241499,0.498530841,0.625178552
HOBBIES_1_134_CA_1,3.724980767,4.466068971,0.949026001
HOBBIES_1_135_CA_1,0.348410639,0.513168131,1.109551855
HOBBIES_1_136_CA_1,0.287017103,0.284930059,0.776000247
HOBBIES_1_137_CA_1,0.908778228,1.078772077,0.973183301
HOBBIES_1_138_CA_1,0.372232637,0.210022068,0.430691571
HOBBIES_1_139_CA_1,0.965919309,1.132350059,0.945887038
HOBBIES_1_140_CA_1,1.345768564,1.428934195,0.791983614
HOBBIES_1_141_CA_1,1.233020354,1.46654094,0.991231996
HOBBIES_1_142_CA_1,2.238685411,1.155678585,0.511753731
HOBBIES_1_143_CA_1,0.757245069,0.468345631,0.438825709
HOBBIES_1_144_CA_1,1.005897441,1.048564926,0.769420591
HOBBIES_1_145_CA_1,2.076703443,2.959722877,1.127597625
HOBBIES_1_146_CA_1,0.894811729,1.019314337,0.837019125
HOBBIES_1_147_CA_1,3.48288309,5.228711362,1.279260963
HOBBIES_1_148_CA_1,1.321081666,1.286897961,0.851330091
HOBBIES_1_149_CA_1,1.029074899,0.822038054,0.612277826
HOBBIES_1_150_CA_1,2.962690218,2.127868086,0.519246737
HOBBIES_1_151_CA_1,0.873168267,0.976879135,0.814210016
HOBBIES_1_152_CA_1,0.654659781,0.846384941,1.041593322
HOBBIES_1_153_CA_1,1.532017316,1.43611391,0.727680076
HOBBIES_1_154_CA_1,1.45367089,1.233010833,0.727089447
HOBBIES_1_155_CA_1,1.581272439,1.618167565,0.841655876
HOBBIES_1_156_CA_1,1.127121238,1.931999885,1.658048673
HOBBIES_1_157_CA_1,0.879814053,1.197413589,1.039268552
HOBBIES_1_158_CA_1,1.757626915,2.210247249,1.383995289
HOBBIES_1_159_CA_1,1.530088356,2.31645514,1.173669718
HOBBIES_1_160_CA_1,0.637685889,0.655809052,0.754332573
HOBBIES_1_161_CA_1,1.393947423,3.024982769,1.954261054
HOBBIES_1_162_CA_1,0.463698153,0.415834551,0.668035574
HOBBIES_1_163_CA_1,0.649732016,0.678553373,0.756440655
HOBBIES_1_164_CA_1,1.103926776,1.404036385,0.949215493
HOBBIES_1_165_CA_1,0.599337583,0.595849146,0.765992195
HOBBIES_1_166_CA_1,1.232572248,2.09162059,1.512905484
HOBBIES_1_167_CA_1,1.975491207,2.666562638,1.056930496
HOBBIES_1_168_CA_1,0.525378174,0.585733908,0.901689995
HOBBIES_1_169_CA_1,8.32006295,7.839950909,0.716827094
HOBBIES_1_170_CA_1,0.444120538,0.529949862,0.916441945
HOBBIES_1_171_CA_1,0.525467333,0.554096633,0.832804254
HOBBIES_1_172_CA_1,1.096453914,1.091282917,0.749785336
HOBBIES_1_173_CA_1,0.798879257,0.928825348,0.911803232
HOBBIES_1_174_CA_1,0.306773592,0.03700611,0.09242946
HOBBIES_1_175_CA_1,0.532649676,0.38656684,0.569515022
HOBBIES_1_176_CA_1,0.475928039,0.736198012,1.172305177
HOBBIES_1_177_CA_1,1.399857377,1.056300989,0.657267387
HOBBIES_1_178_CA_1,9.877930645,6.742900343,0.515517679
HOBBIES_1_179_CA_1,1.177942776,0.982349473,0.604883819
HOBBIES_1_180_CA_1,0.38549829,0.826508465,1.656537738
HOBBIES_1_181_CA_1,0.263049407,0.452003956,1.27710523
HOBBIES_1_183_CA_1,0.825341332,0.60236806,0.615238511
HOBBIES_1_184_CA_1,0.43933435,0.351445698,0.586712488
HOBBIES_1_185_CA_1,0.749483064,0.7505367,0.801022342
HOBBIES_1_186_CA_1,0.462514322,2.105197642,3.991789952
HOBBIES_1_187_CA_1,0.957895647,1.112005058,0.890777392
HOBBIES_1_188_CA_1,0.39531724,0.607300276,1.177673941
HOBBIES_1_189_CA_1,8.095503287,10.06031487,0.96761684
HOBBIES_1_190_CA_1,0.340716523,0.347004647,0.809725266
HOBBIES_1_191_CA_1,0.285995727,0.52636795,1.319074302
HOBBIES_1_192_CA_1,0.303794493,0.256863814,0.610056618
HOBBIES_1_193_CA_1,0.813477489,1.797615622,1.657495679
HOBBIES_1_194_CA_1,1.704449386,1.261015604,0.624203183
HOBBIES_1_195_CA_1,0.844330816,0.802109813,0.718497452
HOBBIES_1_197_CA_1,0.422162486,0.261759812,0.455562771
HOBBIES_1_198_CA_1,1.035570301,0.808414761,0.586862908
HOBBIES_1_199_CA_1,0.556421917,0.547457693,0.829820359
HOBBIES_1_200_CA_1,0.938552677,0.820049417,0.664415148
HOBBIES_1_201_CA_1,1.4163373,1.480538445,0.82192642
HOBBIES_1_202_CA_1,2.037109814,1.242166632,0.434752552
HOBBIES_1_203_CA_1,0.595078798,0.734337978,1.01200021
HOBBIES_1_204_CA_1,0.546343522,0.945697357,1.534037985
HOBBIES_1_205_CA_1,0.338797311,0.392840427,0.84833218
HOBBIES_1_206_CA_1,0.930518797,1.424128885,1.531543027
HOBBIES_1_207_CA_1,0.449584239,0.423090323,0.703204036
HOBBIES_1_208_CA_1,1.419037251,1.702926169,1.00754493
HOBBIES_1_209_CA_1,4.325699783,2.50726221,0.424274626
HOBBIES_1_210_CA_1,0.57330214,0.216315448,0.292556245
HOBBIES_1_211_CA_1,1.270155264,2.363007265,1.551901637
HOBBIES_1_212_CA_1,0.293298555,0.280804051,0.747313795
HOBBIES_1_213_CA_1,0.982902259,1.152061174,0.818221123
